Epoch,Train Loss,Validation Loss,Accuracy
1,0.8391594320933025,0.8401819728215536,0.79975
2,0.517469672203064,0.5183265743255615,0.8675833333333334
3,0.4253785212635994,0.4252890325387319,0.8894166666666666
4,0.3744060676296552,0.37377788245677945,0.8975
5,0.34132079235712687,0.33924081043402354,0.90425
6,0.31280376158157985,0.31222582642237345,0.9100833333333334
7,0.2922311993340651,0.2920694507757823,0.9174166666666667
8,0.2719719560046991,0.2734046504100164,0.92075
9,0.2631196876466274,0.2663466053009033,0.922
10,0.2533693993190924,0.25344363431135813,0.92775
11,0.2412326863904794,0.24363098599513372,0.9273333333333333
12,0.2392764988442262,0.2414119553565979,0.92825
13,0.21890920433898767,0.22178147806723914,0.9350833333333334
14,0.22005784775316714,0.22410339693228404,0.9335833333333333
15,0.20823342256744704,0.21364716265598932,0.9375
16,0.2038405862847964,0.21169085496664047,0.9363333333333334
17,0.19755664698282877,0.20323177764813105,0.9391666666666667
18,0.19614703503747782,0.20315043844779332,0.9396666666666667
19,0.18686433993776638,0.19677870255708693,0.9435
20,0.18417530830701193,0.19225005316734314,0.9454166666666667
21,0.17906843413660925,0.1873365070819855,0.9450833333333334
22,0.1771541482831041,0.1880614718993505,0.9451666666666667
23,0.1775898498222232,0.18967283260822296,0.9460833333333334
24,0.16802022393296162,0.1814041132926941,0.94575
25,0.1655074126223723,0.1787097120086352,0.9476666666666667
26,0.1615249572470784,0.17513353248437247,0.9485
27,0.16460515629748504,0.17904997819662094,0.94875
28,0.16050387374560038,0.17632560663421948,0.9471666666666667
29,0.15488049491991598,0.17098795448740323,0.94925
30,0.15850932970643045,0.17120378747582435,0.9509166666666666
31,0.1521618908941746,0.16903343664606413,0.9510833333333333
32,0.14863468978057304,0.16578643945852917,0.95125
33,0.15360567793498436,0.17038540643453598,0.9500833333333333
34,0.1494730586061875,0.16667060340444248,0.94975
35,0.14534066520631314,0.16461086672544478,0.9514166666666667
36,0.14363986033573747,0.16241161891818046,0.9515
37,0.14179511290664473,0.16046127936244012,0.95225
38,0.13952212089796862,0.15806570520003638,0.95325
39,0.13710181261599064,0.15649989985426266,0.9531666666666667
40,0.13655007136116426,0.15696180890997252,0.95225
41,0.13593749392653506,0.15755682439605395,0.955
42,0.13240457952022552,0.1540378882686297,0.9550833333333333
43,0.13538697538152336,0.1566102803746859,0.9540833333333333
44,0.13216918652007978,0.15582230948408446,0.9543333333333334
45,0.13091415228446324,0.15393565719326338,0.954
46,0.12767560488109786,0.1508069699406624,0.9564166666666667
47,0.13136098958055178,0.15669886023799579,0.9535
48,0.1252839245510598,0.1489549887875716,0.9565
49,0.12302298226207495,0.14644202747941018,0.9570833333333333
50,0.1266481016886731,0.15235548292597134,0.9545
51,0.12305632924412688,0.14934776011606057,0.9563333333333334
52,0.12023176645860076,0.14557073791821798,0.9576666666666667
53,0.11969475349287192,0.1469868675818046,0.9575833333333333
54,0.12132021537423134,0.14950963539381823,0.9563333333333334
55,0.11617802745786807,0.14352862632274627,0.95775
56,0.11633317747339607,0.14453440634906292,0.9580833333333333
57,0.11547284711276491,0.14392103531459968,0.9570833333333333
58,0.11625920538355906,0.14526181005934874,0.956
59,0.11284134187176824,0.14381493279337884,0.9579166666666666
60,0.11131923965116342,0.14069497266411782,0.95875
61,0.1173737607660393,0.148482882147034,0.9569166666666666
62,0.11403790595630804,0.1440858677228292,0.9575833333333333
63,0.11438939990103245,0.14430015233159066,0.9564166666666667
64,0.10845304451758662,0.14070282366871834,0.95875
65,0.10878112236782908,0.14014191525181136,0.9585
66,0.1163345398704211,0.14842347584168117,0.9571666666666667
67,0.1089465996188422,0.14096682691574097,0.9586666666666667
68,0.10755179203177492,0.14076902434726557,0.95875
69,0.11285824066524704,0.1445453001310428,0.9574166666666667
70,0.10668079034114877,0.1408529620865981,0.95925
71,0.10798611746107538,0.14315177165468534,0.959
72,0.10526230571543177,0.13885528665284316,0.9609166666666666
73,0.10758483556161325,0.1413154100626707,0.9590833333333333
74,0.10685594396168988,0.14101279317835966,0.9590833333333333
75,0.105675371405979,0.13947889523704846,0.9604166666666667
76,0.10200242963122824,0.13773179459571838,0.9593333333333334
77,0.10211248926445841,0.13817058688402176,0.9583333333333334
78,0.10089862934375803,0.13776305662095548,0.9601666666666666
79,0.10078046341364583,0.13694857037564118,0.9588333333333333
80,0.09966949878695111,0.1383735583772262,0.9604166666666667
81,0.09936388595029712,0.13634464810291927,0.9595833333333333
82,0.10110664272805055,0.13913294944663843,0.9595833333333333
83,0.10247621727176011,0.14033124688764415,0.9601666666666666
84,0.10260959132388234,0.1392617738544941,0.9595
85,0.09589198698103428,0.13125874129434426,0.9614166666666667
86,0.09734099808583657,0.13580158175031345,0.9614166666666667
87,0.10114085934932034,0.14110603898763657,0.95925
88,0.09685804578289389,0.1349263875534137,0.9606666666666667
89,0.09643674146880706,0.13581540826956431,0.9601666666666666
90,0.09469824190686146,0.13602296550571918,0.9598333333333333
91,0.09453355953469872,0.1365493818819523,0.9605833333333333
92,0.09507706548615048,0.13756513140598933,0.9609166666666666
93,0.09378457119005422,0.13399752335747084,0.96
94,0.09776132856992384,0.13894530452787876,0.9579166666666666
95,0.09383370812050998,0.13504674774905046,0.9619166666666666
96,0.09761052264521519,0.14115262314180532,0.9599166666666666
97,0.09256764294145008,0.13317079200347265,0.9620833333333333
98,0.09321291984493534,0.13301625194648903,0.9608333333333333
99,0.09196919497040411,0.13438913267850877,0.9618333333333333
100,0.08949255618142585,0.1309120957503716,0.9619166666666666
