Epoch,Train Loss,Validation Loss,Accuracy
1,0.3519975252747536,0.3672014101743698,0.8924166666666666
2,0.28270412267247835,0.30113774609565735,0.9124166666666667
3,0.2493777688294649,0.2706032820542653,0.9220833333333334
4,0.22519663477440674,0.2478296011686325,0.92825
5,0.19578360801935196,0.21916289865970612,0.9376666666666666
